"No.","Time","Source","Destination","Protocol","Length","Info"
"1239","1.670992","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1240","1.671195","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3940 Ack=2075661 Win=132608 Len=0"
"1241","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1242","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1243","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1244","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1245","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1246","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1247","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1248","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1249","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1250","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1251","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1252","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1253","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1254","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1255","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1256","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1257","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1258","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1259","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1260","1.686167","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1261","1.686402","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3940 Ack=2103901 Win=132608 Len=0"
"1262","1.693288","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1263","1.693288","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1264","1.693288","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1265","1.693288","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1266","1.693288","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1267","1.693288","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1268","1.693288","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1269","1.693288","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1270","1.693288","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1271","1.693288","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1272","1.693288","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1273","1.693288","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1274","1.693438","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3940 Ack=2120845 Win=132608 Len=0"
"1275","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1276","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1277","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1278","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1279","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1280","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1281","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1282","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1283","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1284","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1285","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1286","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1287","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1288","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1289","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1290","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1291","1.708188","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1292","1.708188","34.120.52.64","100.86.87.79","TCP","1466","443  >  58535 [ACK] Seq=2144849 Ack=3940 Win=69888 Len=1412"
"1293","1.708416","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3940 Ack=2146261 Win=132608 Len=0"
"1294","1.708484","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1295","1.708484","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1296","1.708538","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3940 Ack=2149085 Win=132608 Len=0"
"1297","1.709813","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1298","1.709813","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1299","1.709813","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1300","1.709813","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1301","1.709813","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1302","1.709813","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1303","1.709813","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1304","1.709813","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1305","1.709813","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1306","1.709813","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1307","1.709813","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1308","1.709813","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1309","1.709972","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3940 Ack=2166029 Win=132608 Len=0"
"1310","1.714279","34.120.52.64","100.86.87.79","TLSv1.3","45238","Continuation Data"
"1311","1.714330","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3940 Ack=2211213 Win=265216 Len=0"
"1312","1.715110","34.120.52.64","100.86.87.79","TLSv1.3","2878","Continuation Data"
"1313","1.715143","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3940 Ack=2214037 Win=265216 Len=0"
"1314","1.715577","34.120.52.64","100.86.87.79","TLSv1.3","2878","Continuation Data"
"1315","1.715590","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=3940 Ack=2216861 Win=265216 Len=0"
