"No.","Time","Source","Destination","Protocol","Length","Info"
"4923","242.618933","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4182100 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4924","242.618933","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [PSH, ACK] Seq=4183560 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4925","242.618933","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4185020 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4926","242.618933","23.12.147.175","100.86.111.80","TLSv1.3","1514","Application Data, Application Data"
"4927","242.618933","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4187940 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4928","242.618933","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4189400 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4929","242.618933","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4190860 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4930","242.618933","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4192320 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4931","242.618933","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4193780 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4932","242.619087","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#28] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4171880 SLE=4129604 SRE=4155474"
"4933","242.619142","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#29] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4173340 SLE=4129604 SRE=4155474"
"4934","242.619168","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#30] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4174800 SLE=4129604 SRE=4155474"
"4935","242.619194","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#31] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4176260 SLE=4129604 SRE=4155474"
"4936","242.619234","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#32] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4177720 SLE=4129604 SRE=4155474"
"4937","242.619269","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#33] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4179180 SLE=4129604 SRE=4155474"
"4938","242.619297","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#34] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4180640 SLE=4129604 SRE=4155474"
"4939","242.619320","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#35] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4182100 SLE=4129604 SRE=4155474"
