"No.","Time","Source","Destination","Protocol","Length","Info"
"6564","13.319383","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [ACK] Seq=6343097 Ack=618572 Win=229248 Len=1448 TSval=436341318 TSecr=2062586525 [TCP segment of a reassembled PDU]"
"6565","13.319384","23.0.229.150","100.86.100.45","TLSv1.3","252","Application Data"
"6566","13.319413","100.86.100.45","23.0.229.150","TCP","78","[TCP Dup ACK 6557#2] 60386  >  443 [ACK] Seq=623798 Ack=6334409 Win=1765824 Len=0 TSval=2062586545 TSecr=436341318 SLE=6335857 SRE=6344731"
"6567","13.321104","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [ACK] Seq=6344731 Ack=618572 Win=229248 Len=1448 TSval=436341321 TSecr=2062586525 [TCP segment of a reassembled PDU]"
"6568","13.321105","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [ACK] Seq=6346179 Ack=618572 Win=229248 Len=1448 TSval=436341321 TSecr=2062586525 [TCP segment of a reassembled PDU]"
"6569","13.321106","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [ACK] Seq=6347627 Ack=618572 Win=229248 Len=1448 TSval=436341321 TSecr=2062586525 [TCP segment of a reassembled PDU]"
"6570","13.321136","100.86.100.45","23.0.229.150","TCP","78","[TCP Dup ACK 6557#3] 60386  >  443 [ACK] Seq=623798 Ack=6334409 Win=1765824 Len=0 TSval=2062586547 TSecr=436341318 SLE=6335857 SRE=6349075"
"6571","13.321778","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [ACK] Seq=6349075 Ack=618572 Win=229248 Len=1448 TSval=436341321 TSecr=2062586525 [TCP segment of a reassembled PDU]"
"6572","13.321779","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [PSH, ACK] Seq=6350523 Ack=618572 Win=229248 Len=1448 TSval=436341321 TSecr=2062586525 [TCP segment of a reassembled PDU]"
"6573","13.321795","100.86.100.45","23.0.229.150","TCP","78","[TCP Dup ACK 6557#4] 60386  >  443 [ACK] Seq=623798 Ack=6334409 Win=1765824 Len=0 TSval=2062586547 TSecr=436341318 SLE=6335857 SRE=6351971"
"6574","13.331171","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [ACK] Seq=6351971 Ack=618572 Win=229248 Len=1448 TSval=436341330 TSecr=2062586537 [TCP segment of a reassembled PDU]"
"6575","13.331172","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [ACK] Seq=6353419 Ack=618572 Win=229248 Len=1448 TSval=436341330 TSecr=2062586537 [TCP segment of a reassembled PDU]"
"6576","13.331173","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [PSH, ACK] Seq=6354867 Ack=618572 Win=229248 Len=1448 TSval=436341330 TSecr=2062586537 [TCP segment of a reassembled PDU]"
"6577","13.331272","100.86.100.45","23.0.229.150","TCP","78","[TCP Dup ACK 6557#5] 60386  >  443 [ACK] Seq=623798 Ack=6334409 Win=1765824 Len=0 TSval=2062586557 TSecr=436341318 SLE=6335857 SRE=6356315"
"6578","13.331673","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [ACK] Seq=6356315 Ack=618572 Win=229248 Len=1448 TSval=436341331 TSecr=2062586537 [TCP segment of a reassembled PDU]"
"6579","13.331674","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [PSH, ACK] Seq=6357763 Ack=618572 Win=229248 Len=1448 TSval=436341331 TSecr=2062586537 [TCP segment of a reassembled PDU]"
"6580","13.331695","100.86.100.45","23.0.229.150","TCP","78","[TCP Dup ACK 6557#6] 60386  >  443 [ACK] Seq=623798 Ack=6334409 Win=1765824 Len=0 TSval=2062586557 TSecr=436341318 SLE=6335857 SRE=6359211"
