No.,Time,Source,Destination,Protocol,Length,Info,,label
2500,158.032902,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2501,158.033176,100.86.186.37,157.240.229.35,UDP,83,64722  >  443 Len=41,,2
2502,158.033748,157.240.229.35,100.86.186.37,UDP,858,443  >  64722 Len=816,,2
2503,158.035936,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2504,158.061309,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2505,158.165119,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2506,158.165119,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2507,158.165119,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2508,158.165119,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2509,158.165119,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2510,158.168881,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2511,158.172055,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2512,158.172055,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2513,158.172055,157.240.229.35,100.86.186.37,UDP,346,443  >  64722 Len=304,,2
2514,158.172055,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2515,158.175418,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2516,158.177464,157.240.229.35,100.86.186.37,UDP,922,443  >  64722 Len=880,,2
2517,158.177464,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2518,158.182207,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2519,160.570771,100.86.186.37,157.240.229.35,UDP,1287,64722  >  443 Len=1245,,2
2520,160.570876,100.86.186.37,157.240.229.35,UDP,990,64722  >  443 Len=948,,2
2521,160.582219,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2522,160.596445,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2523,160.599667,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2524,160.799992,100.86.186.37,157.240.229.35,UDP,71,64722  >  443 Len=29,,2
2525,160.829717,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2526,161.019482,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2527,161.019786,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2528,161.019786,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2529,161.020049,100.86.186.37,157.240.229.35,UDP,83,64722  >  443 Len=41,,2
2530,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2531,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2532,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2533,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2534,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2535,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2536,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2537,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2538,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2539,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2540,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2541,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2542,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2543,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2544,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2545,161.021109,157.240.229.35,100.86.186.37,UDP,1018,443  >  64722 Len=976,,2
2546,161.021109,157.240.229.35,100.86.186.37,UDP,506,443  >  64722 Len=464,,2
2547,161.021109,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2548,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2549,161.021109,157.240.229.35,100.86.186.37,UDP,282,443  >  64722 Len=240,,2
2550,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2551,161.021109,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2552,161.023448,100.86.186.37,157.240.229.35,UDP,76,64722  >  443 Len=34,,2
2553,161.02359,100.86.186.37,157.240.229.35,UDP,76,64722  >  443 Len=34,,2
2554,161.023714,100.86.186.37,157.240.229.35,UDP,76,64722  >  443 Len=34,,2
2555,161.024154,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2556,161.024154,157.240.229.35,100.86.186.37,UDP,1178,443  >  64722 Len=1136,,2
2557,161.024154,157.240.229.35,100.86.186.37,UDP,506,443  >  64722 Len=464,,2
2558,161.024574,100.86.186.37,157.240.229.35,UDP,78,64722  >  443 Len=36,,2
2559,161.024672,100.86.186.37,157.240.229.35,UDP,78,64722  >  443 Len=36,,2
2560,161.024725,100.86.186.37,157.240.229.35,UDP,78,64722  >  443 Len=36,,2
2561,161.033667,157.240.229.35,100.86.186.37,UDP,506,443  >  64722 Len=464,,2
2562,161.033888,100.86.186.37,157.240.229.35,UDP,78,64722  >  443 Len=36,,2
2563,161.043784,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2564,161.045407,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2565,161.04825,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2566,161.057715,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2567,161.061521,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2568,161.070008,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2569,161.073767,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2570,161.129955,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2571,161.130246,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2572,161.130246,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2573,161.130755,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2574,161.130755,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2575,161.131697,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2576,161.132054,157.240.229.35,100.86.186.37,UDP,1114,443  >  64722 Len=1072,,2
2577,161.137054,157.240.229.35,100.86.186.37,UDP,506,443  >  64722 Len=464,,2
2578,161.137564,100.86.186.37,157.240.229.35,UDP,76,64722  >  443 Len=34,,2
2579,161.14437,157.240.229.35,100.86.186.37,UDP,506,443  >  64722 Len=464,,2
2580,161.148271,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2581,161.151288,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2582,161.154884,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2583,161.15699,157.240.229.35,100.86.186.37,UDP,762,443  >  64722 Len=720,,2
2584,161.159996,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2585,161.168297,157.240.229.35,100.86.186.37,UDP,730,443  >  64722 Len=688,,2
2586,161.168297,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
